Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
PDGFABBB.N,PICFLU,,,{},{},4.3429451781522374e-11,,,False
PDGFABBB.N,Nicaragua,Memphis,4.0872799897444464e-100,{},{},4.342945178152238e-11,0.6586109330948331,9.15550717702756e-97,True
PDGFABBB.N,Nicaragua,Hopkins,1.2362412784409525e-119,{},"{'Female': 146, 'Male': 106}",4.342945178152238e-11,0.7127661869665344,2.7691804637077335e-116,True
PDGFABBB.N,Nicaragua,FLU09,2.3785583686084476e-57,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,4.342945178152237e-11,5.327970745682922e-54,True
PDGFABBB.N,Nicaragua,,,{},{},4.342945178152238e-11,,,False
PDGFABBB.N,Memphis,Hopkins,0.16356408360162614,{},"{'Female': 146, 'Male': 106}",0.6586109330948331,0.7127661869665344,1.0,False
PDGFABBB.N,Memphis,FLU09,2.1689322438332562e-79,{},"{'Female': 194, 'Male': 114}",0.6586109330948331,4.342945178152237e-11,4.8584082261864935e-76,True
PDGFABBB.N,Memphis,,,{},{},0.6586109330948331,,,False
PDGFABBB.N,Hopkins,FLU09,7.265713936383401e-96,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.7127661869665344,4.342945178152237e-11,1.6275199217498818e-92,True
PDGFABBB.N,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.7127661869665344,,,False
PDGFABBB.N,FLU09,,,"{'Female': 194, 'Male': 114}",{},4.342945178152237e-11,,,False
RANTES.N,Taiwan,SHIVERS,2.2096946658117095e-66,"{'Female': 112, 'Male': 80}",{},0.7153757303719931,4.342945178152237e-11,4.94971605141823e-63,True
RANTES.N,Taiwan,PICFLU,4.2955139062959705e-132,"{'Female': 112, 'Male': 80}",{},0.7153757303719931,4.3429451781522374e-11,9.621951150102974e-129,True
RANTES.N,Taiwan,Nicaragua,6.929269358743933e-212,"{'Female': 112, 'Male': 80}",{},0.7153757303719931,4.342945178152238e-11,1.5521563363586409e-208,True
RANTES.N,Taiwan,Memphis,0.003856506405130433,"{'Female': 112, 'Male': 80}",{},0.7153757303719931,0.8746477619870827,1.0,False
RANTES.N,Taiwan,Hopkins,0.10315474479608891,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",0.7153757303719931,0.6597371793863096,1.0,False
RANTES.N,Taiwan,FLU09,1.5810107724316568e-171,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",0.7153757303719931,4.342945178152237e-11,3.541464130246911e-168,True
RANTES.N,Taiwan,,,"{'Female': 112, 'Male': 80}",{},0.7153757303719931,,,False
RANTES.N,SHIVERS,PICFLU,2.8269004665273084e-18,{},{},4.342945178152237e-11,4.3429451781522374e-11,6.3322570450211705e-15,True
RANTES.N,SHIVERS,Nicaragua,4.532239002070038e-19,{},{},4.342945178152237e-11,4.342945178152238e-11,1.0152215364636885e-15,True
RANTES.N,SHIVERS,Memphis,3.0124515358602195e-26,{},{},4.342945178152237e-11,0.8746477619870827,6.747891440326891e-23,True
RANTES.N,SHIVERS,Hopkins,6.139932576957219e-41,{},"{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.6597371793863096,1.375344897238417e-37,True
RANTES.N,SHIVERS,FLU09,,{},"{'Female': 194, 'Male': 114}",4.342945178152237e-11,4.342945178152237e-11,,False
RANTES.N,SHIVERS,,,{},{},4.342945178152237e-11,,,False
RANTES.N,PICFLU,Nicaragua,8.994351963621446e-12,{},{},4.3429451781522374e-11,4.342945178152238e-11,2.0147348398512038e-08,True
RANTES.N,PICFLU,Memphis,3.5167891498288725e-61,{},{},4.3429451781522374e-11,0.8746477619870827,7.877607695616674e-58,True
RANTES.N,PICFLU,Hopkins,1.7769992359693662e-86,{},"{'Female': 146, 'Male': 106}",4.3429451781522374e-11,0.6597371793863096,3.980478288571381e-83,True
RANTES.N,PICFLU,FLU09,1.7738981150563974e-54,{},"{'Female': 194, 'Male': 114}",4.3429451781522374e-11,4.342945178152237e-11,3.97353177772633e-51,True
RANTES.N,PICFLU,,,{},{},4.3429451781522374e-11,,,False
RANTES.N,Nicaragua,Memphis,5.733679548963109e-104,{},{},4.342945178152238e-11,0.8746477619870827,1.2843442189677365e-100,True
RANTES.N,Nicaragua,Hopkins,3.092497513996628e-141,{},"{'Female': 146, 'Male': 106}",4.342945178152238e-11,0.6597371793863096,6.927194431352447e-138,True
RANTES.N,Nicaragua,FLU09,2.3785583686084476e-57,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,4.342945178152237e-11,5.327970745682922e-54,True
RANTES.N,Nicaragua,,,{},{},4.342945178152238e-11,,,False
RANTES.N,Memphis,Hopkins,1.1014502026040718e-05,{},"{'Female': 146, 'Male': 106}",0.8746477619870827,0.6597371793863096,0.024672484538331207,True
RANTES.N,Memphis,FLU09,1.6980565340932468e-82,{},"{'Female': 194, 'Male': 114}",0.8746477619870827,4.342945178152237e-11,3.803646636368873e-79,True
RANTES.N,Memphis,,,{},{},0.8746477619870827,,,False
RANTES.N,Hopkins,FLU09,1.2609124702626804e-113,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.6597371793863096,4.342945178152237e-11,2.824443933388404e-110,True
RANTES.N,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.6597371793863096,,,False
